year,CODGEO,LIBGEO,rank,density_data,reldensity_data,area_data,relarea_data,pop_data,relpop_data,popweight,group,ngroup
1936,42218,Saint-Étienne,7,,,,,196884.0,0.0396704885609142,0.021703613024769374,3,6
1936,44109,Nantes,6,,,,,195203.0,0.0393317810414057,0.021518307090845654,3,6
1936,51454,Reims,13,,,,,117229.0,0.0236206685332856,0.012922801503833166,4,5
1936,54395,Nancy,16,,,,,121301.0,0.0244411426673953,0.01337168060135689,5,6
1936,59350,Lille,5,,,,,240747.0,0.0485085182624002,0.02653887428574263,3,6
1936,67482,Strasbourg,11,,,,,192911.0,0.0388699621034442,0.02126564724518643,4,5
1936,68224,Mulhouse,17,,,,,100903.0,0.0203311153128843,0.011123096163417567,5,6
1936,69123,Lyon,2,,,,,574061.0,0.115668517166285,0.06328192131718235,2,2
1936,75060,Paris,1,,,,,4.962984e6,1.0,0.5470971952221715,1,1
1936,76351,Le Havre,10,,,,,186701.0,0.0376186987505904,0.0205810845743558,4,5
1936,76540,Rouen,9,,,,,122812.0,0.0247455966007547,0.0135382464943722,3,6
1936,80021,Amiens,15,,,,,93773.0,0.0188944796114596,0.010337116800612028,5,6
1936,83137,Toulon,14,,,,,150319.0,0.0302880283313426,0.0165704953488872,4,5
1936,87085,Limoges,19,,,,,95957.0,0.0193345374476323,0.01057787120851768,5,6
1954,13055,Marseille,3,19832.2938530735,0.518747826639631,33.35,0.058233948558557,661407.0,0.121639187486781,0.06930311188006644,2,2
1954,29019,Brest,12,15998.9884393064,0.418481116849555,6.92,0.0120833260577276,110713.0,0.0203611987236664,0.01160065651796518,4,5
1954,30189,Nîmes,18,13966.6144200627,0.365320871584325,6.38,0.0111404075503326,89107.0,0.0163876449438616,0.009336750881525415,5,6
1954,31555,Toulouse,8,7038.29842931937,0.18409882590988,38.2,0.0667027536712707,268863.0,0.0494465236461944,0.028171825471170253,3,6
1954,33063,Bordeaux,4,9488.15075921909,0.24817893591322,36.88,0.0643978417643053,349923.0,0.064354246935604,0.03666540090807701,3,6
1954,35238,Rennes,20,18146.4912280702,0.474652753505752,6.84,0.0119436344270024,124122.0,0.0228272443884541,0.013005669508755738,5,6
1954,42218,Saint-Étienne,7,12630.5481283422,0.330373755017219,14.96,0.0261223349456076,188953.0,0.0347502965544511,0.01979874857549768,3,6
1954,44109,Nantes,6,7516.63040099472,0.196610423033093,32.17,0.0561734970053607,241810.0,0.0444712135284003,0.02533717587464128,3,6
1954,51454,Reims,13,5562.97968397291,0.145509321416905,22.15,0.0386771202570326,123220.0,0.022661357805589,0.012911156739892059,4,5
1954,54395,Nancy,16,6060.0,0.158509744395956,20.6,0.0359705949117324,124836.0,0.0229585559407443,0.013080483385661135,5,6
1954,59350,Lille,5,14174.124726477,0.370748661292124,18.28,0.0319195376207023,259103.0,0.0476515646120884,0.027149159590782762,3,6
1954,67482,Strasbourg,11,15959.0240641711,0.417435779739385,14.96,0.0261223349456076,238747.0,0.0439078980036598,0.025016230629597545,4,5
1954,68224,Mulhouse,17,5373.04772234273,0.140541323613172,18.44,0.0321989208821527,99079.0,0.018221592842233,0.010381630406036076,5,6
1954,69123,Lyon,2,10868.2340076545,0.284277391846327,54.87,0.0958109972236288,596340.0,0.109672732622829,0.06248530441703644,2,2
1954,75060,Paris,1,9494.57821858248,0.248347057190581,572.69,1.0,5.43745e6,1.0,0.5697432982902619,1,1
1954,76351,Le Havre,10,8014.18338108883,0.209624778758863,20.94,0.0365642843423143,167817.0,0.0308631803510837,0.017584090168953626,4,5
1954,76540,Rouen,9,5157.90172642762,0.134913809286386,22.59,0.0394454242260211,116517.0,0.0214286108378008,0.012208807416507084,3,6
1954,80021,Amiens,15,10681.9861431871,0.27940575795342,8.66,0.0151216190260001,92506.0,0.017012754140268,0.009692902656877575,5,6
1954,83137,Toulon,14,13473.2965009208,0.352417291176879,10.86,0.0189631388709424,146320.0,0.0269096727326228,0.015331605698596056,4,5
1954,87085,Limoges,19,12585.5123674912,0.32919576707313,8.49,0.0148247743107091,106851.0,0.0196509393189822,0.011195990982098737,5,6
1975,13055,Marseille,3,4209.90111515967,0.626604247375532,168.3125,0.149935972384611,708578.981445313,0.0978934835254191,0.051293269120915114,2,2
1975,29019,Brest,12,4129.71856956697,0.61466982842853,44.25,0.0394187406046434,182740.046703339,0.0252463877984338,0.013228355116607962,4,5
1975,30189,Nîmes,18,4078.34185722049,0.607022887255359,22.125,0.0197093703023217,90233.3135910034,0.0124661521563163,0.0065318923632968,5,6
1975,31555,Toulouse,8,2777.06568208912,0.413340148387754,132.875,0.11836757418852,369002.602507591,0.0509794266204912,0.026711700872262913,3,6
1975,33063,Bordeaux,4,3434.69841381821,0.511222604921176,101.0625,0.0900283948555203,347119.208446503,0.0479561339007017,0.0251275855509689,3,6
1975,35238,Rennes,20,5161.09656354736,0.768180757545271,41.8125,0.0372473693001503,215798.350063324,0.0298135462382002,0.015621410083417518,5,6
