CODGEO,LIBGEO,rank,REG,DEP,pop,area,year,type,rural_area,meanbuilt,b10,b25,b50,b75,b90,p10,p25,p50,p75,p90
50129,Cherbourg-en-Cotentin,28,28,50,88055.425743103,24.1875,1975,satellite,83.0625,75.3231918226533,30.422399520874,57.9479999542236,80.5999984741211,95.46240234375,100,52.5737991333008,149.336002349854,212.908866882324,327.046371459961,385.893981933594
72181,Le Mans,29,52,72,175038.180595398,37.9375,1975,satellite,137.4375,77.0121515233199,30.1935997009277,60.4832000732422,84.4031982421875,95.9119987487793,100,94.2392578125,223.367164611816,312.452819824219,353.160217285156,733.867065429688
21231,Dijon,30,27,21,197683.502380371,44.6875,1975,satellite,239.9375,71.7346282932308,30.1551990509033,53.5671997070313,76.4031982421875,89.4552001953125,100,13.4890165328979,170.60237121582,310.463592529297,378.760345458984,641.901611328125
59183,Dunkerque,31,32,59,183890.114377976,64,1975,satellite,140,74.7495203819126,30.0864009857178,59.224799156189,79.4640007019043,92.5548000335693,100,14.3288497924805,123.939306259155,180.472183227539,234.635482788086,389.250640869141
38185,Grenoble,32,84,38,338778.47174263,64.9375,1975,satellite,401.4375,71.3416269300532,30.0960006713867,53.7999992370606,75.0576019287109,90.2712020874023,100,31.0567264556885,171.546737670898,282.106964111328,478.410400390625,668.973754882813
63113,Clermont-Ferrand,33,84,63,209819.597896576,57.875,1975,satellite,194.125,72.0662444466906,30.0704002380371,54.3800001144409,74.963996887207,91.7320003509522,100,36.9664840698242,130.560447692871,228.213714599609,310.879188537598,633.547485351563
14118,Caen,34,28,14,201387.458181381,57,1975,satellite,125.75,77.9420579128098,30.0144004821777,60.5396003723145,86.3240013122559,98.2356014251709,100,15.7620496749878,105.688449859619,180.269134521484,371.633911132813,738.760620117188
10387,Troyes,35,44,10,115855.861300468,32.9375,1975,satellite,61.875,78.6213281403457,30.6464004516602,63.4615993499756,86.8591995239258,97.0624008178711,100,11.622540473938,137.670799255371,235.250915527344,303.611572265625,660.198486328125
62160,Boulogne-sur-Mer,36,32,62,89407.7918624878,14.875,1975,satellite,16.75,70.6771830871326,30.4111995697022,55.9104013442993,72.6679992675781,85.1948013305664,100,124.966438293457,277.457946777344,361.458648681641,465.585479736328,659.430236816406
02691,Saint-Quentin,37,32,2,71311.7089996338,15.5,1975,satellite,28,77.6551742938257,31.3663997650147,58.8847999572754,85.3831977844238,97.4779987335205,100,64.7689743041992,183.573654174805,320.085342407227,393.953559875488,405.878234863281
