year,theta_rural,theta_urban,Employment_rural,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,P_rural,stheta_rural,stheta_urban
1914,1.6752086285149987,1.9083833078903545,0.411352306604385,0.48701599240303,0.302281558513641,0.210702434182167,0.8531181819002329,1.6524806508539338,1.8695983167688637
1915,1.6511476738887108,1.8785344347645763,0.411955177783966,0.521663904190064,0.271048158407211,0.207287922501564,0.8582396848261077,1.6423944281193283,1.8671929481099614
1916,1.6270867192624228,1.848685561638798,0.412553638219833,0.528350830078125,0.282730311155319,0.188918873667717,0.8635558530041317,1.6289440677075842,1.8544212545276553
1917,1.6030257646361348,1.8188366885130198,0.413147687911987,0.56532883644104,0.278149247169495,0.156521871685982,0.8690441560024725,1.614424337863474,1.8387793613558097
1918,1.5789648100098468,1.7889878153872416,0.413737416267395,0.585610032081604,0.279344201087952,0.135045751929283,0.8746842039176369,1.6042761267150716,1.830985302625255
1919,1.5549038553835588,1.7591389422614634,0.414322823286057,0.551347255706787,0.355625301599503,0.0930274203419685,0.8804538605960195,1.6052157124865984,1.8414435863242136
1920,1.5308429007572704,1.7292900691356856,0.414903998374939,0.520243167877197,0.400149911642075,0.0796069502830505,0.8863278012022663,1.618665396974339,1.875775928836187
1921,1.541208843456752,1.624063959550633,0.415480971336365,0.538130283355713,0.378909468650818,0.0829602628946304,0.8922741307998521,1.6432627980376528,1.9336932827692903
1922,1.6781652706438652,1.9606760426243717,0.40910729765892,0.478871643543243,0.443152159452438,0.0779761970043182,0.8982513015257064,1.6775264868549182,2.010678127748207
1923,1.6739805924468394,2.0885559909061913,0.402695804834366,0.482037037611008,0.437088966369629,0.0808739885687828,0.9042065527958794,1.7200513348233715,2.1009968991208336
1924,1.857178176764289,2.3516957391580138,0.3962462246418,0.498706459999085,0.430795848369598,0.0704976767301559,0.9100686834595276,1.7677930740120813,2.197320882988047
1925,1.9083778071155042,2.3386345233126447,0.389758169651032,0.491321563720703,0.437853693962097,0.0708247497677803,0.9157553764089231,1.8163433037549337,2.289474098094837
1926,1.7251458245580629,2.46959139531447,0.383231282234192,0.451518595218658,0.434969961643219,0.113511428236961,0.9211873041457285,1.8629972582292487,2.3654533506019795
1927,1.9184561606834387,2.3208143376870485,0.377828776836395,0.481034636497498,0.411012470722199,0.107952900230885,0.9263006524051844,1.9066783780607914,2.417143965437611
1928,1.9346006769507453,2.500632334785685,0.372448086738586,0.486445307731628,0.401976972818375,0.111577741801739,0.9310472998190223,1.948973505649828,2.442856473700047
1929,2.1513547366459194,2.620069587828349,0.367089092731476,0.516324877738953,0.372647821903229,0.111027307808399,0.9353872962338105,1.9921391177642478,2.4466806977024356
1930,1.8860672409518977,2.587543621277128,0.361751645803452,0.45585510134697,0.428425520658493,0.115719377994537,0.9392799168621819,2.0355200057690706,2.436703033239508
1931,2.056528876909036,2.327958714073556,0.356435656547546,0.502508461475372,0.373034358024597,0.124457187950611,0.942681572871893,2.076863967264749,2.4229632006525574
1932,2.101029946148559,2.155886461054925,0.356262713670731,0.483740150928497,0.375764310359955,0.140495538711548,0.9455502720686931,2.1149385281192683,2.4170956239920507
1933,2.185224599835185,2.3642991018428545,0.356085330247879,0.461532831192017,0.394932985305786,0.143534168601036,0.9478490131172834,2.1491706610805528,2.4297712623258345
1934,2.345752751735166,2.3225292666888055,0.35590335726738,0.490344405174255,0.346358925104141,0.163296684622765,0.9495536055355538,2.1807451087921326,2.4670081845084146
1935,2.227304231430038,2.3181045603693518,0.355716586112976,0.461185276508331,0.365052431821823,0.173762306571007,0.9506474489252755,2.211362985797045,2.529947715291093
1936,2.1064053326533045,2.5064378459806163,0.355524837970734,0.450607001781464,0.375301241874695,0.17409174144268,0.9511121843806346,2.241492405243911,2.6142798411927024
1937,2.140667302703356,2.673206191997222,0.355973839759827,0.471621811389923,0.379341125488281,0.149037048220634,0.9509354394253795,2.2701096868285493,2.709183618958835
1938,2.372412214616573,3.0165562127267127,0.356420487165451,0.489163756370544,0.377709418535233,0.133126839995384,0.9501133653658427,2.296895850690313,2.8009851031527755
1939,2.376744258000872,3.006799251168271,0.356864809989929,0.498747706413269,0.362669229507446,0.138583049178123,0.9486419033874907,2.3226277426082755,2.8785692990781704
1940,2.3810763013851717,2.99704228960983,0.357306808233261,0.49057993292808527,0.36794954985380146,0.14147050902247385,0.9465210126657595,2.346829544733791,2.936577044743004
1941,2.3854083447694707,2.9872853280513882,0.357746541500092,0.48241215944290156,0.3732298702001569,0.1443579688668247,0.9437576290562395,2.3684781519580294,2.9731281115061425
1942,2.38974038815377,2.9775283664929466,0.358184009790421,0.47424438595771784,0.37851019054651236,0.14724542871117555,0.940357948660793,2.3853838442129858,2.989264123828602
1943,2.3940724315380693,2.9677714049345054,0.358619213104248,0.4660766124725341,0.3837905108928678,0.1501328885555264,0.9363294233661763,2.3960595699340925,2.990260479640785
1944,2.3984044749223683,2.958014443376064,0.359052181243897,0.4579088389873504,0.38907083123922326,0.15302034839987724,0.93169636468297,2.4054482960606434,2.984197321295523
1945,2.402736518306668,2.9482574818176226,0.359482944011688,0.4497410655021667,0.3943511515855787,0.1559078082442281,0.9264913541013208,2.4216990415751223,2.980838113275205
1946,2.407068561690967,2.938500520259181,0.359911501407623,0.441573292016983,0.39963147193193416,0.15879526808857894,0.9207411679914871,2.449122014072803,2.9877940711183926
1947,2.4114006050752663,2.9287435587007393,0.345636516809464,0.43340551853179926,0.4049117922782896,0.1616827279329298,0.9144748059808293,2.4906138313392456,3.009032089357075
1948,2.4157326484595654,2.918986597142298,0.330811113119125,0.42523774504661555,0.41019211262464506,0.16457018777728064,0.9077249870654183,2.550048541034259,3.0470439067545607
1949,2.420064691843864,2.9092296355838556,0.315402835607529,0.41706997156143183,0.4154724329710005,0.16745764762163148,0.900523343859618,2.6306175624536396,3.10311164037864
1950,2.9098536239124675,3.0757198699423904,0.299376636743546,0.4089021980762481,0.42075275331735595,0.17034510746598233,0.8928998101967782,2.7314283473286527,3.1774181953015628
1951,2.7500043411240394,3.3042986712992577,0.292146444320679,0.4007344245910644,0.4260330736637114,0.17323256731033318,0.8848811737577285,2.8476699999633137,3.2691109423304527
1952,2.8258312921781514,3.3591959061852443,0.287176072597504,0.3925666511058807,0.43131339401006685,0.17612002715468403,0.8764949459961205,2.9731767804977363,3.3759510143067146
1953,3.098895766883128,3.413411516706863,0.281834155321121,0.38439887762069697,0.4365937143564223,0.17900748699903488,0.8677821298821178,3.101287615567644,3.49445918321158
1954,3.3658029566279497,3.529438139906738,0.2758549451828,0.37623110413551325,0.44187403470277775,0.18189494684338572,0.858789832850616,3.2304252132385494,3.621282440247742
1955,3.5128491483376143,3.6900648999191588,0.266656428575516,0.36806333065032953,0.4471543550491332,0.18478240668773657,0.8495498679779199,3.361969744331426,3.7549485492159467
1956,3.388856723226964,3.8571682060690295,0.25644662976265,0.3598955571651458,0.45243467539548865,0.18766986653208742,0.8400869580962502,3.500234125000327,3.8964604717930724
1957,3.5343278724473555,4.031800869823467,0.24365559220314,0.3517277836799621,0.4577149957418441,0.19055732637643827,0.8304231291777742,3.651607925289666,4.049340060886435
1958,3.6376902838698175,4.126065395113963,0.237320676445961,0.3435600101947784,0.46299531608819955,0.19344478622078912,0.8205760395503158,3.8160398729250926,4.217886825067027
1959,3.732106176121302,4.258983818179066,0.233270660042763,0.335392236709595,0.468275636434555,0.19633224606514,0.8105651700676779,3.9924152344564705,4.403983955566921
1960,4.4367723139150295,4.448222638693029,0.225454360246658,0.32459568977356,0.473890542984009,0.201513767242432,0.8004131689379048,4.181755987526383,4.607377752175303
1961,4.186944842587531,4.734009398251218,0.217393517494202,0.314624935388565,0.480109810829163,0.205265253782272,0.7901510396038557,4.385445225476136,4.827067390146814
1962,4.92670843076056,4.96570148963208,0.209950089454651,0.309404581785202,0.481032371520996,0.209563001990318,0.7798142585824402,4.605690798836811,5.0617003238419525
1963,4.676617680596131,5.285461901176023,0.201325982809067,0.300577461719513,0.483478754758835,0.215943813323975,0.7694360485949133,4.8433815268328955,5.3091263304532825
1964,4.878168875844017,5.547088058775742,0.192299976944923,0.294326901435852,0.48777848482132,0.217894613742828,0.759046342004901,5.101456800109925,5.566362513479148
1965,5.221521192706049,5.776806616326497,0.184851661324501,0.289783120155334,0.486356526613236,0.22386035323143,0.7486739373974305,5.384111214776643,5.830842067511982
